citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa,record_id,citekey_collision
Hidding2024117,ARTICLE,Therapeutic use of medical Cannabis in neurological diseases: a clinical update,"Hidding, Ute and Mainka, Tina and Buhmann, Carsten",2024,Journal of Neural Transmission,10.1007/s00702-023-02719-1,https://www.scopus.com/pages/publications/85177865068?origin=resultslist,117 - 126,131,2,Review,Cited by: 18; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True,Hidding2024117,False
Hafida2024,ARTICLE,CBD's potential impact on Parkinson's disease: An updated overview,"Hafida, El Ghachi and Rachid, Soulimani and Halima, Gamrani and Najib, Kissani",2024,Open Medicine (Poland),10.1515/med-2024-1075,https://www.scopus.com/pages/publications/85208273697?origin=resultslist,,19,1,Review,Cited by: 4; All Open Access; Gold Open Access; Green Open Access,True,True,True,Hafida2024,False
Mekala2024605,ARTICLE,Strategies of positron emission tomography (PET) tracer development for imaging of tau and α-synuclein in neurodegenerative disorders,"Mekala, Shekar and Wu, You and Li, Yue-Ming",2024,RSC Medicinal Chemistry,10.1039/d4md00576g,https://www.scopus.com/pages/publications/85212110970?origin=resultslist,605 - 639,16,2,Review,Cited by: 7; All Open Access; Green Open Access,True,False,True,Mekala2024605,False
Gmiro20259,ARTICLE,Water-Soluble Analogs of Palmitoylethanolamide and Its Combination with Adamantane- and Phenylcyclohexyl-Containing Glutamate Blockers,"Gmiro, V.E. and Serdyuk, S.E.",2025,Pharmaceutical Chemistry Journal,10.1007/s11094-025-03357-5,https://www.scopus.com/pages/publications/105005800698?origin=resultslist,9 - 20,59,1,Article,Cited by: 1,False,False,False,Gmiro20259,False
Diadhiou20241257,ARTICLE,"Natural Health Products for Symptomatic Relief of Parkinson’s Disease: Prevalence, Interest, and Awareness","Diadhiou, Sandra and Maas, Bart R. and Schootemeijer, Sabine and Bloem, Bastiaan R. and de Vries, Nienke M. and Calon, Frédéric and Darweesh, Sirwan K.L. and de Rus Jacquet, Aurelie",2024,Journal of Parkinson's Disease,10.3233/JPD-240102,https://www.scopus.com/pages/publications/85203416929?origin=resultslist,1257 - 1264,14,6,Article,Cited by: 4; All Open Access; Gold Open Access; Green Open Access,True,True,True,Diadhiou20241257,False
Lirio202411,ARTICLE,Cannabidiol: Pharmacodynamics and pharmacokinetic in the context of neuropsychiatric disorders,"Lirio, Pedro H.C. and Gaspari, Priscyla D.M. and Campos, Alline C.",2024,International Review of Neurobiology,10.1016/bs.irn.2024.05.001,https://www.scopus.com/pages/publications/85197378256?origin=resultslist,11 - 27,177,,Article,Cited by: 5,False,False,False,Lirio202411,False
Ajalin2025163,ARTICLE,"Impaired Gait, Postural Instability, and Rigidity in Relation to CB1 Receptor Availability in Parkinson's Disease","Ajalin, Riikka and Al-Abdulrasul, Haidar and Tuisku, Jouni M. and Hirvonen, Jussi and Lahdenpohja, Salla and Rinne, Juha O. and Brück, Anna",2025,Movement Disorders,10.1002/mds.30042,https://www.scopus.com/pages/publications/85206949812?origin=resultslist,163 - 167,40,1,Article,Cited by: 2; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True,Ajalin2025163,False
Zamanian2025,ARTICLE,The Roles of Neuroinflammation in l-DOPA-Induced Dyskinesia: Dissecting the Roles of NF-κB and TNF-α for Novel Pharmacological Therapeutic Approaches,"Zamanian, Mohammad Yasin and Golmohammadi, Maryam and Gardanova, Zhanna R. and Rahimi, Mohammad and Khachatryan, Lusine G. and Khazaei, Mojtaba",2025,European Journal of Neuroscience,10.1111/ejn.70034,https://www.scopus.com/pages/publications/85219127525?origin=resultslist,,61,5,Review,Cited by: 4,False,False,False,Zamanian2025,False
Hakami2025,ARTICLE,Therapeutic potential of cannabinoids in neurological conditions: a systematic review of clinical trials,"Hakami, Alqassem Y. and Alshehri, Fahad S.",2025,Frontiers in Pharmacology,10.3389/fphar.2025.1521792,https://www.scopus.com/pages/publications/85219083061?origin=resultslist,,16,,Review,Cited by: 12; All Open Access; Gold Open Access; Green Open Access,True,True,True,Hakami2025,False
Friedrich2024,ARTICLE,No evidence of structural abnormality of the substantia nigra in adult attention-deficit/hyperactivity disorder: a pilot cross-sectional cohort study,"Friedrich, Isabel and von Kuenheim, Daniela and Wozniak, David and Meyer, Patrick and Mauche, Nicole and Huang, Jue and Classen, Joseph and Strauss, Maria and Rumpf, Jost-Julian",2024,Frontiers in Psychiatry,10.3389/fpsyt.2024.1395836,https://www.scopus.com/pages/publications/85196086561?origin=resultslist,,15,,Article,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True,Friedrich2024,False
Gebru2025,ARTICLE,"Predictors of extrapyramidal side effects among patients taking antipsychotic medication at Mekelle psychiatry units, Northern Ethiopia, 2023: unmatched case-control study","Gebru, Welu Abadi and Asfaw, Gebregziabher Kidanemariam and Berhe, Kenfe Tesfay and Begashaw, Tesfaye Derbie and Reta, Hiwot Gebrewahid and Gebresilassie, Hagos Tsegabrhan",2025,BMC Psychiatry,10.1186/s12888-025-07202-7,https://www.scopus.com/pages/publications/105014727014?origin=resultslist,,25,1,Article,Cited by: 3; All Open Access; Gold Open Access; Green Open Access,True,True,True,Gebru2025,False
Satapathy2024,ARTICLE,A comprehensive review and recent advancement in the application of tannins for treating Parkinson disease,"Satapathy, Trilochan and Kumar, Deepak",2024,Pharmacological Research - Modern Chinese Medicine,10.1016/j.prmcm.2024.100499,https://www.scopus.com/pages/publications/85201752634?origin=resultslist,,12,,Article,Cited by: 17; All Open Access; Gold Open Access; Green Open Access,True,True,True,Satapathy2024,False
Malagelada2025427,ARTICLE,European Guideline on Chronic Nausea and Vomiting—A UEG and ESNM Consensus for Clinical Management,"Malagelada, Carolina and Keller, Jutta and Sifrim, Daniel and Serra, Jordi and Tack, Jan and Mulak, Agata and Stengel, Andreas and Aguilar, Ariadna and Drewes, Asbjorn Mohr and Josefsson, Axel and Bonaz, Bruno and Dumitrascu, Dan and Keszthelyi, Daniel and Barba, Elizabeth and Carbone, Florencia and Zerbib, Frank and Marchegiani, Giovanni and Hauser, Goran and Gourcerol, Guillaume and Tornblom, Hans and Hammer, Heinz and Aziz, Imran and Matic, Jelena Rakic and Mendive, Juan and Nikaki, Kornilia and Wauters, Lucas and Alcalá-González, Luis Gerardo and Waluga, Marek and Jinga, Mariana and Corsetti, Maura and Rommel, Nathalie and Shidrawi, Ray and De Giorgio, Roberto and Kadirkamanathan, Sritharan and Surdea-Blaga, Teodora",2025,United European Gastroenterology Journal,10.1002/ueg2.12711,https://www.scopus.com/pages/publications/85214092552?origin=resultslist,427 - 471,13,3,Article,Cited by: 7; All Open Access; Green Open Access,True,False,True,Malagelada2025427,False
Fuentes2026,ARTICLE,"Cannabigerol and cannabigerolic acid: Biosynthesis, pharmacology, and translational perspectives. A critical review","Fuentes, Giselle Magalí and Echarte, Stella Maris and Parise, Alejandro Ruben and Ramírez, Cristina Luján and Orallo, Dalila Elisabet",2026,Phytomedicine Plus,10.1016/j.phyplu.2026.100965,https://www.scopus.com/pages/publications/105034102396?origin=resultslist,,6,2,Article,Cited by: 1; All Open Access; Gold Open Access; Green Open Access,True,True,True,Fuentes2026,False
Saturnino Guarino20244210,ARTICLE,Identification and In Vitro and In Vivo Characterization of KAC-50.1 as a Potential α-Synuclein PET Radioligand,"Saturnino Guarino, Dinahlee and Miranda Azpiazu, Patricia and Sunnemark, Dan and Elmore, Charles S. and Bergare, Jonas and Artelsmair, Markus and Nordvall, Gunnar and Forsberg Morén, Anton and Jia, Zhisheng and Cortes-Gonzalez, Miguel and Mach, Robert H. and Wilcox, Kyle C. and Finnema, Sjoerd and Schou, Magnus and Varrone, Andrea",2024,ACS Chemical Neuroscience,10.1021/acschemneuro.4c00493,https://www.scopus.com/pages/publications/85208963620?origin=resultslist,4210 - 4219,15,22,Article,Cited by: 7; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True,Saturnino Guarino20244210,False
