citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa
Bhushan2025434,ARTICLE,Beyond Dopamine: Novel Therapeutic Pathways for Parkinson's Disease Through Receptor Signaling,"Bhushan, Rashmi and Goel, Falguni and Singh, Shamsher",2025,CNS and Neurological Disorders - Drug Targets,10.2174/0118715273325667241212041540,https://www.scopus.com/pages/publications/105005482557?origin=resultslist,434 - 451,24,6,Review,Cited by: 21,False,False,False
Gad2026,ARTICLE,Current Neuroimaging Modalities to Distinguish Parkinson’s Disease from its Mimics: Imaging Features and Implications for Clinical Practice,"Gad, Mona and Deng, Francis and Prasuhn, Jannik and Luna, Licia P.",2026,Neuroradiology Journal,10.1177/19714009261423704,https://www.scopus.com/pages/publications/105029575555?origin=resultslist,,,,Review,Cited by: 1; All Open Access; Green Open Access,True,False,True
Salehinejad2026,ARTICLE,"Global prevalence and disability burden of brain disorders: Impact of neurological, mental, and substance use disorders","Salehinejad, Mohammad Ali and Fathi Jouzdani, Ali and Bandeira, Igor D. and Bender, Stephan and Bikson, Marom and Castelo-Branco, Miguel and Cohen Kadosh, Roi and Costanzo, Floriana and Croarkin, Paul E. and Desarkar, Pushpal and Dyke, Katherine and Eickhoff, Simon and Fitzgerald, Paul B. and Hartwigsen, Gesa and Koenig, Julian and Martino, Davide and Menghini, Deny and Mirfazeli, Fatemeh Sadat and Moliadze, Vera and Nitsche, Michael A. and Oberman, Lindsay M. and Siniatchkin, Michael and Vaziri, Zahra and Vicario, Carmelo M. and Vöckel, Jaspe and Wischnewski, Miles and Wolters, Carsten H. and Zangen, Abraham and Zaehle, Tino and Zomorrodi, Reza and Brunoni, Andre R.",2026,Neuroscience and Biobehavioral Reviews,10.1016/j.neubiorev.2026.106808,https://www.scopus.com/pages/publications/105042602827?origin=resultslist,,188,,Review,Cited by: 2; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
Kitchigina202637,ARTICLE,Cannabinoids and cognition in Parkinson's disease: Insights from animal models and emerging clinical evidence,"Kitchigina, Valentina F. and Shubina, Liubov",2026,Neuroscience,10.1016/j.neuroscience.2026.03.023,https://www.scopus.com/pages/publications/105033939585?origin=resultslist,37 - 49,603,,Review,Cited by: 0; All Open Access; Hybrid Gold Open Access,True,True,False
Białoń2026,ARTICLE,Cannabidiol in Neurology: Current Insights and Translational Perspectives,"Białoń, Magdalena and Kędziora, Marta and Starowicz, Katarzyna",2026,Pharmaceuticals,10.3390/ph19020330,https://www.scopus.com/pages/publications/105031226998?origin=resultslist,,19,2,Review,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Saraswathi2026,ARTICLE,Plant-derived neuroprotective compounds and nanoformulations targeting Parkinson’s disease: a semi-systematic review of mechanisms and therapeutic potential,"Saraswathi, Saraswathi and Venkataravanappa, Jagadisha Tavarekere and Nambiar, Chaithanya and Saji, Sharon and Kori, Vinuta and Murthy, Mamatha N and Somanna, Prabhakara and SV, Suresh Babu and Sreeramulu, Arun Kumar and Dayalan, Ashok and Mohan, Sindhu Priya and Murthy, Chaithra D Srinivas",2026,Metabolic Brain Disease,10.1007/s11011-026-01868-y,https://www.scopus.com/pages/publications/105039579520?origin=resultslist,,41,1,Review,Cited by: 2,False,False,False
Berry20251490,ARTICLE,Management of Anxiety in Parkinson's Disease,"Berry, Alex J. and Costello, Harry and Jesús, Silvia and Price, Gary and Jha, Ashwani",2025,Movement Disorders Clinical Practice,10.1002/mdc3.70144,https://www.scopus.com/pages/publications/105009345379?origin=resultslist,1490 - 1501,12,10,Review,Cited by: 6; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
Warren2026,ARTICLE,"Evaluating the pharmacokinetics, efficacy and safety of low-dose cannabidiol","Warren, William George and Osborn, Myles and Yates, Andrew and O'Sullivan, Saoirse Elizabeth",2026,British Journal of Clinical Pharmacology,10.1002/bcp.70691,https://www.scopus.com/pages/publications/105045051158?origin=resultslist,,,,Review,Cited by: 0,False,False,False
Constantinides2024169,ARTICLE,Management Strategies for Atypical Parkinsonism,"Constantinides, Vasilios C. and Giagkou, Nikolaos and Brinia, Maria-Evgenia and Koros, Christos and Stefanis, Leonidas and Stamelou, Maria",2024,Current Treatment Options in Neurology,10.1007/s11940-024-00787-6,https://www.scopus.com/pages/publications/85188241505?origin=resultslist,169 - 187,26,5,Review,Cited by: 3,False,False,False
Lee2024160,ARTICLE,The development status of PET radiotracers for evaluating neuroinflammation,"Lee, Namhun and Choi, Jae Yong and Ryu, Young Hoon",2024,Nuclear Medicine and Molecular Imaging,10.1007/s13139-023-00831-4,https://www.scopus.com/pages/publications/85181731467?origin=resultslist,160 - 176,58,4,Review,Cited by: 21; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
